Title,Year,Path,KeyContribution,KeyResults
Real-to-Sim Robot Policy Evaluation with Gaussian Splatting Simulation of Soft-Body Interactions,2025,LaTeX_Sources_Recovered/2_Digital_Twins_and_Sim2Real/Real-to-Sim Robot Policy Evaluation with,"Real-to-Sim Robot Policy Evaluation with Gaussian Splatting Simulation of Soft-Body Interactions \maketitle Real-to-Sim Robot Policy Evaluation with Gaussian Splatting Simulation of Soft-Body Interactions Kaifeng Zhang1,2∗, Shuo Sha1,2∗, Hanxiao Jiang1, Matthew Loper2, Hyunjong Song2, Guangyan Cai2, Zhuo Xu3, Xiaochen Hu2, Changxi Zheng1,2, Yunzhu Li1,2 Real World Toy packing Rope routing T-block pushing Success rate - Real Success rate - Sim Correlation Z Simulation Fig.",No numerical results found
Self-Correcting Robot Manipulation via Gaussian-Splatted Foresight,2025,LaTeX_Sources_Recovered/4_Neural_Rendering_Foundations/Self-Correcting Robot Manipulation via G,"Language-conditioned robotic manipulation in unstructured environments presents significant challenges for intelligent robotic systems. However, due to partial observation or im- precise action prediction, failure may be unavoidable for learned policies.",No numerical results found
SelfSplat: Self-supervised 3D Gaussian Splatting From Monocular Videos,2025,LaTeX_Sources/4_Neural_Rendering_Foundations/SelfSplat - Pose-Free and 3D Prior-Free,"We propose SelfSplat, a novel 3D Gaussian Splatting model designed to perform pose-free and 3D prior-free generalizable 3D reconstruction from unposed multi-view images. These settings are inherently ill-posed due to the lack of ground-truth data, learned geometric information, and the need to achieve accurate 3D reconstruction without finetuning, making it difficult for conventional methods to achieve high-quality results.",No numerical results found
Splat2Real: Novel-view Scaling for Physical AI\\ with 3D Gaussian Splatting,2025,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Splat2Real - Novel-view Scaling for Phys,"Physical AI faces viewpoint shift between training and deployment, and novel-view robustness is essential for monocular RGB-to-3D perception. We cast Real2Render2Real monocular depth pretraining as imitation-learning--style supervision from a digital twin oracle: a student depth network imitates expert metric depth/visibility rendered from a scene mesh, while 3DGS supplies scalable novel-view observations.",No numerical results found
WildGS-SLAM - Monocular Gaussian Splatting SLAM in Dynamic Environments,2025,LaTeX_Sources_Recovered/4_Neural_Rendering_Foundations/WildGS-SLAM - Monocular Gaussian Splatti,"We present WildGS-SLAM, a robust and efﬁcient monocular RGB SLAM system designed to handle dynamic environments by leveraging uncertainty-aware geometric mapping. Unlike traditional SLAM systems, which assume static scenes, our approach integrates depth and uncertainty information to enhance tracking, mapping, and rendering performance in the presence of moving objects.",No numerical results found
\ Author Guidelines for ~Proceedings,2025,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/RoboPearls Editable Video Simulation for,"% \maketitle latex/fig/teaser \thefootnote $^*$ Equal contribution $^\ddagger$Work done during an internship at Li Auto Inc. $^\dagger$ Co-corresponding author sec/0_abstract sec/1_intro sec/2_related sec/3_method sec/4_exp sec/5_conclusion \section*Acknowledgments This work is supported by National Key Research and Development Program of China (2024YFE0203100), National Natural Science Foundation of China (NSFC) under Grants No.",No numerical results found
% Hierarchical Coupling of RL and MPC for Non-Gaited % Legged and Hybrid Locomotion RL-Augmented MPC for Non-Gaited Legged and Hybrid Locomotion,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/RLAugmented MPC for NonGaited Legged and,"We propose a contact-explicit hierarchical architecture coupling Reinforcement Learning (RL) and Model Predictive Control (MPC), where a high-level RL agent provides gait and navigation commands to a low-level locomotion MPC.",No numerical results found
23.3pt,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/CycleRL SimtoReal Deep Reinforcement Lea,"3pt30pt\selectfont CycleRL: Sim-to-Real Deep Reinforcement Learning for Robust Autonomous Bicycle Control Gelu Liu, Teng Wang, Zhijie Wu, Junliang Wu, Songyuan Li, Xiangwei Zhu % <-this % stops a space % This paper was produced by the IEEE Publication Technology Group.",2021%
3DGS2-TR - Scalable Second-Order Trust-Region Method for 3D Gaussian Splatting,2026,LaTeX_Sources_Recovered/4_Neural_Rendering_Foundations/3DGS2-TR - Scalable Second-Order Trust-R,"We propose 3DGS2-TR, a second-order optimizer for accelerating the scene training problem in 3D Gaussian Splatting (3DGS). Unlike existing second-order approaches that rely on explicit or dense curvature representations, such as 3DGS- LM (H¨ollein et al.",No numerical results found
: Articulated Reconstruction Transformer,2026,LaTeX_Sources/3_Articulated_Object_Modeling/ART - Articulated Reconstruction Transfo,shortcuts % \twocolumn[\maketitlefigTexts/teaser\bigbreak] \def*\footnotetext[1]Work done during internship at Meta\deffootnote texts/0_abstract texts/1_introduction texts/2_related texts/3_method texts/4_experiments texts/5_conclusion \small ieeenat_fullname main % % \clearpage \renewcommandSfigure figure0 \renewcommandStable table0 \renewcommandSequation equation0 arabic% \renewcommand*\thepageSpage footnote0 page1 \maketitlesupplementary \appendix suppTexts/result suppTexts/details.,No numerical results found
: Generating Articulated Assets via 3D LLM,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/ArtLLM - Generating Articulated Assets v,"% \maketitle \twocolumn[ \maketitle center \includegraphics[width=\linewidth]figures/teaser/V4. 5cm type=figure figure % Our method, \methodname, generates high-fidelity articulated 3D assets from raw input images.",No numerical results found
AOGen: A 3DGS-based Category-Level Articulated Object Manipulation Data Generator,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/AOMGen - Photoreal Physics-Consistent De,\twocolumn[ \maketitle \vspace*-0. 15in \centering \includegraphics[width=0.,No numerical results found
AuxVLA: Auxiliary Task Learning and Multi-Modal Enhancement for Vision-Language-Action Models in Mobile Manipulation,2026,LaTeX_Sources/3_Articulated_Object_Modeling/SG-VLA Learning Spatially-Grounded Visio,\maketitle sec/0_abstract sec/1_introduction sec/2_related_work sec/3_dataset sec/4_model sec/5_training_scheme sec/6_experiments sec/7_conclusion sec/8_ack \small ieeenat_fullname main % % % WARNING: do not forget to delete the supplementary pages from your submission % sec/X_suppl.,No numerical results found
Closing the reality gap - Zero-shot sim-to-real deployment for dexterous force-based grasping ByteDance Seed 2026,2026,LaTeX_Sources_Recovered/2_Digital_Twins_and_Sim2Real/Closing the reality gap - Zero-shot sim-,"Human-like dexterous hands with multiple fingers offer human-level manipulation capabilities, but training control policies that can directly deploy on real hardware remains difficult due to contact- rich physics and imperfect actuation.",No numerical results found
"FixingGS - Enhancing 3D Gaussian Splatting via Training-Free Score Distillation (Gu et al., 2026)",2026,LaTeX_Sources_Recovered/4_Neural_Rendering_Foundations/FixingGS - Enhancing 3D Gaussian Splatti,"Recently, 3D Gaussian Splatting (3DGS) has demonstrated remarkable success in 3D reconstruction and novel view synthesis. However, reconstructing 3D scenes from sparse viewpoints remains highly challenging due to insufficient visual in- formation, which results in noticeable artifacts persisting across the 3D represen- tation.",No numerical results found
FreeGaussian: Annotation-free Control of Articulated Objects via \\ 3D Gaussian Splats with Flow Derivatives,2026,LaTeX_Sources/3_Articulated_Object_Modeling/FreeGaussian - Annotation-Free Controlla,"\makeatletter \let\@oldmaketitle\@maketitle% Store \@maketitle \@maketitle\@oldmaketitle% Update \@maketitle to insert. center type=figure figure0 \includegraphics[trim=0ex 0 0 0, clip, width=0.",No numerical results found
GSMem: 3D Gaussian Splatting as Persistent Spatial Memory for Zero-Shot Embodied Exploration and Reasoning,2026,LaTeX_Sources/4_Neural_Rendering_Foundations/GSMem - 3D Gaussian Splatting as Persist,"% --------------------------------------------------------------- % TODO REVIEW: Replace with your title GSMem: 3D Gaussian Splatting as Persistent Spatial Memory for Zero-Shot Embodied Exploration and Reasoning % TODO REVIEW: If the paper title is too long for the running head, you can set % an abbreviated paper title here.",No numerical results found
Ground Reaction Inertial Poser: Physics-based Human Motion Capture \\ from Sparse IMUs and Insole Pressure Sensors,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Ground Reaction Inertial Poser Physicsba,\maketitle strip \centering -13mm \includegraphics[width=1. 0\linewidth]figures/overview.,No numerical results found
Learning-Driven Sensor Layout Optimization for Freeform Deformation Proprioception,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/ModelFree CoOptimization of Manufacturab,"Flexible sensors are increasingly employed in soft robotics and wearable devices to provide proprioception of freeform deformations. Although supervised learning can train shape predictors from sensor signals, prediction accuracy strongly depends on sensor layout, which is typically determined heuristically or through trial-and-error.",No numerical results found
Literature Review,2026,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Literature Review,"Literature Review \maketitle 1 Robot Self-Modeling: A Literature Review Muhammad Zeeshan Asghar and Shan An School of Electrical Automation and Information Engineering Tianjin University, China Abstract—Robot self-modeling—the ability of a robot to au- tonomously learn an internal representation of its own mor- phology, kinematics, and dynamics from sensory data—is a foundational capability for resilient autonomous systems.",No numerical results found
M3: Dense Matching Meets Multi-View Foundation Models for Monocular \\ Gaussian Splatting SLAM,2026,LaTeX_Sources/4_Neural_Rendering_Foundations/M3 - Dense Matching Meets Multi-View Fou,"% --------------------------------------------------------------- % TODO REVIEW: Replace with your title M$^3$: Dense Matching Meets Multi-View Foundation Models for Monocular \\ Gaussian Splatting SLAM Multi-View Matching for Monocular SLAM % TODO REVIEW: If the paper title is too long for the running head, you can set % an abbreviated paper title here.",No numerical results found
MotionAnymesh: Physics-Grounded Articulation for Simulation-Ready Digital Twins,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/MotionAnymesh PhysicsGrounded Articulati,"Converting static 3D meshes into interactable articulated assets is crucial for embodied AI and robotic simulation. However, existing zero-shot pipelines struggle with complex assets due to a critical lack of physical grounding.",No numerical results found
PAM: A Pose–Appearance–Motion Engine for Sim-to-Real HOI Video Generation,2026,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/PAM - A Pose-Appearance-Motion Engine fo,\maketitle *Equal Contribution. \textdaggerCorresponding Author.,No numerical results found
UniPR: Uni,2026,LaTeX_Sources/4_Neural_Rendering_Foundations/UniPR - Unified Object-level Real-to-Sim,% \maketitle \twocolumn[% \renewcommand\twocolumn[1][]#1% \maketitle -1. 0cm center \large https://xingyoujun.,1%; 3x improvement
VarSplat: Uncertainty-aware 3D Gaussian Splatting for Robust RGB-D SLAM,2026,LaTeX_Sources/4_Neural_Rendering_Foundations/VarSplat - Uncertainty-aware 3D Gaussian,\maketitle sec/0_abstract sec/1_intro sec/2_related sec/3_method sec/4_experiment sec/5_conclusion % sec/X_suppl \small ieeenat_fullname % * main % WARNING: do not forget to delete the supplementary pages from your submission sec/X_suppl.,No numerical results found
%Dynamics-Grounded Policy Architecture for Articulated Robot Learning\\ Articulated-Body Dynamics Network: \-Grounded Prior for Robot Learning % *,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/ArticulatedBody Dynamics Network Dynamic,"% Problem Recent work in reinforcement learning has shown that incorporating structural priors for articulated robots, such as link connectivity, into policy networks improves learning efficiency. % However, dynamics properties, despite their fundamental role in determining how forces and motion propagate through the body, remain largely underexplored as an inductive bias for policy learning.",No numerical results found
-0.5em,Unknown,LaTeX_Sources/3_Articulated_Object_Modeling/DragMesh - Interactive 3D Generation Mad,"While generative models have excelled at creating static 3D content, the pursuit of systems that understand how objects move and respond to interactions remains a fundamental challenge. Current methods for articulated motion lie at a crossroads: they are either physically consistent but too slow for real-time use, or generative but violate basic kinematic constraints.",No numerical results found
3D Neural Scene Representations for \\ Visuomotor Control,Unknown,LaTeX_Sources/4_Neural_Rendering_Foundations/3D Neural Scene Representations for Visu,\maketitle text/abstract. tex text/related_work.,No numerical results found
AGILE: A Comprehensive Workflow \\ for Humanoid Loco-Manipulation Learning,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/AGILE A Comprehensive Workflow for Human,"Recent advances in reinforcement learning (RL) have enabled impressive humanoid behaviors in simulation, yet transferring these results to new robots remains challenging. In many real deployments, the primary bottleneck is no longer simulation throughput or algorithm design, but the absence of systematic infrastructure that links environment verification, training, evaluation, and deployment in a coherent loop.",No numerical results found
Building Explicit World Model for Zero-Shot Open-World Object Manipulation,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Building Explicit World Model for ZeroSh,\maketitle empty empty Content/abstract Content/introduction Content/related_works Content/methods Content/results Content/discussion IEEEtran bib/final.,No numerical results found
Catastrophic Interference in Connectionist Networks,Unknown,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Catastrophic Interference in Connectioni,"Catastrophic Interference in Connectionist Networks \maketitle By the end of the 1980s many of the early problems with connectionist networks, such as their difficulties with sequence-learning and the profoundly stimulus–response nature of supervised learning algorithms such as error back- propagation had been largely solved.",No numerical results found
Competitive Learning - From Interactive Activation to Adaptive Resonance,Unknown,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Competitive Learning - From Interactive,"Competitive Learning - From Interactive Activation to Adaptive Resonance \maketitle COGNITIVE SCIENCE 11, 23-63 (1987) Competitive Learning: From Interactive Activation to Adaptive Resonance STEPHEN GROSSBERG Boston University Functional ond mechanistic comparisons are mode between several network models of cognitive processing: competitive learning, interactive activation, adaptive resonance, and back propagation.",No numerical results found
Emerging Extrinsic Dexterity in Cluttered Scenes via Dynamics-aware Policy Learning,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Emerging Extrinsic Dexterity in Cluttere,"Emerging Extrinsic Dexterity in Cluttered Scenes via Dynamics-aware Policy Learning Yixin Zheng$^*1,2,3$, Jiangran Lyu$^*3,4,\dagger$, Yifan Zhang$^3$, Jiayi Chen$^3,4$, Mi Yan$^3,4$, Yuntian Deng$^5$\\ Xuesong Shi$^3$, Xiaoguang Zhao$^1$, Yizhou Wang$^4$, Zhizheng Zhang$^2,3, \Letter$, He Wang$^2,3,4, \Letter$ 0.",No numerical results found
ExpertGen,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/ExpertGen Scalable SimtoReal Expert Poli,Learning generalizable and robust behavior cloning policies requires large volumes of high-quality robotics data. While human demonstrations (e.,No numerical results found
Flow Policy Gradients for Robot Control,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Flow Policy Gradients for Robot Control,"Likelihood-based policy gradient methods are the dominant approach for training robot control policies from rewards. These methods rely on differentiable action likelihoods, which constrain policy outputs to simple distributions like Gaussians.",1%
Gaussian Splatting SLAM\\,Unknown,LaTeX_Sources/4_Neural_Rendering_Foundations/Gaussian Splatting SLAM,"\twocolumn[ \renewcommand\twocolumn[1][]#1 \maketitle \includegraphics[width=\linewidth]figures/main/teaser. pdf figure From a single monocular camera, we reconstruct a high fidelity \it3D scene live at 3fps.",No numerical results found
Generalized Task-Driven Design of Soft Robots via Reduced-Order FEM-based Surrogate Modeling,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Generalized TaskDriven Design of Soft Ro,"Task-driven design of soft robots requires models that are physically accurate and computationally efficient, while remaining transferable across actuator designs and task scenarios. However, existing modeling approaches typically face a fundamental trade-off between physical fidelity and computational efficiency, which limits model reuse across design and task variations and constrains scalable task-driven optimization.",No numerical results found
Grounding Sim-to-Real Generalization in Dexterous Manipulation: An Empirical Study with Vision-Language-Action Models,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Grounding Sim-to-Real Generalization in,"Learning a generalist control policy for dexterous manipulation typically relies on large-scale datasets. Given the high cost of real-world data collection, a practical alternative is to generate synthetic data through simulation.",No numerical results found
Grounding Sim-to-Real Generalization in Dexterous Manipulation: An Empirical Study with Vision-Language-Action Models,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Grounding SimtoReal Generalization in De,"Learning a generalist control policy for dexterous manipulation typically relies on large-scale datasets. Given the high cost of real-world data collection, a practical alternative is to generate synthetic data through simulation.",No numerical results found
Learning Human-to-Humanoid Real-Time Whole-Body Teleoperation,Unknown,LaTeX_Sources/1_Core_Self_Modeling/Learning Human-to-Humanoid Real-Time Who,"We present BrickRedHuman BrickRedto HumanBrickRedoid (\method), a reinforcement learning (RL) based framework that enables real-time whole-body teleoperation of a full-sized humanoid robot with only an RGB camera.",No numerical results found
Learning Safe-Stoppability Monitors for Humanoid Robots,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Learning Safe-Stoppability Monitors for,"Emergency stop (E-stop) mechanisms are the de facto standard for robot safety. However, for humanoid robots, abruptly cutting power can itself cause catastrophic failures; instead, an emergency stop must execute a predefined fallback controller that preserves balance and drives the robot toward a minimum-risk condition.",No numerical results found
Learning Safe-Stoppability Monitors for Humanoid Robots,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Learning SafeStoppability Monitors for H,"Emergency stop (E-stop) mechanisms are the de facto standard for robot safety. However, for humanoid robots, abruptly cutting power can itself cause catastrophic failures; instead, an emergency stop must execute a predefined fallback controller that preserves balance and drives the robot toward a minimum-risk condition.",No numerical results found
Learning Speed-Adaptive Walking Agent Using Imitation Learning with Physics-Informed Simulation,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Learning SpeedAdaptive Walking Agent Usi,"Virtual models of human gait, or digital twins, offer a promising solution for studying mobility without the need for labor-intensive data collection. However, challenges such as the sim-to-real gap and limited adaptability to diverse walking conditions persist.",No numerical results found
NavGSim: High-Fidelity Gaussian Splatting Simulator for Large-Scale Navigation,Unknown,LaTeX_Sources/4_Neural_Rendering_Foundations/NavGSim - Hierarchical Gaussian Splattin,"Simulating realistic environments for robots is widely recognized as a critical challenge in robot learning, particularly in terms of rendering and physical simulation. This challenge becomes even more pronounced in navigation tasks, where trajectories often extend across multiple rooms or even entire floors.",No numerical results found
NavGSim: High-Fidelity Gaussian Splatting Simulator for Large-Scale Navigation,Unknown,LaTeX_Sources/4_Neural_Rendering_Foundations/NavGSim - High-Fidelity Gaussian Splatti,"Simulating realistic environments for robots is widely recognized as a critical challenge in robot learning, particularly in terms of rendering and physical simulation. This challenge becomes even more pronounced in navigation tasks, where trajectories often extend across multiple rooms or even entire floors.",No numerical results found
Novel Demonstration Generation with Gaussian Splatting Enables Robust One-Shot Manipulation,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Novel Demonstration Generation with Gaus,sec:intro introduction figure*[ht] \centering \includegraphics[width=0. 98\linewidth]figure/method.,No numerical results found
Omniblue,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Learning Athletic Humanoid Tennis Skills,empty \maketitle sec/1_intro sec/2_related_work sec/3_method sec/4_transfer sec/5_experiment sec/6_conclusion assets/plainnat main \appendix sec/X_suppl.,No numerical results found
Overcoming catastrophic forgetting in neural networks,Unknown,LaTeX_Sources/1_Core_Self_Modeling/Overcoming catastrophic forgetting in ne,"The ability to learn tasks in a sequential fashion is crucial to the development of artificial intelligence. Neural networks are not, in general, capable of this and it has been widely thought that catastrophic forgetting is an inevitable feature of connectionist models.",f1990
PhysTwin: Physics-Informed Reconstruction and Simulation of \\ Deformable Objects from Videos,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/PhysTwin - Physics-Informed Reconstructi,"\maketitle sections/figs/fig_teaser sections/abstract sections/introduction sections/figs/fig_pipeline sections/related_works sections/problem_statement sections/method sections/figs/fig_indomain sections/figs/fig_outdomain sections/experiments sections/conclusion sections/acknowledgement \small ieeenat_fullname main \newpage \appendix toctocdepth3 \cftbeforesecskip2pt \contentsnameSupplement Index linkcolor=black \tableofcontents 5pt In the supplement, we provide additional details of our PhysTwin framework, more qualitative results across different tasks, and further analysis of our methods.",No numerical results found
PlanarGS: High-Fidelity Indoor 3D Gaussian Splatting Guided by Vision-Language Planar Priors,Unknown,LaTeX_Sources/4_Neural_Rendering_Foundations/PlanarGS - High-Fidelity Indoor 3D Gauss,"Three-dimensional Gaussian Splatting (3DGS) has recently emerged as an efficient representation for novel-view synthesis, achieving impressive visual quality. However, in scenes dominated by large and low-texture regions, common in indoor environments, the photometric loss used to optimize 3DGS yields ambiguous geometry and fails to recover high-fidelity 3D surfaces.",No numerical results found
RPL: Learning Robust Humanoid Perceptive Locomotion on Challenging Terrains,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/RPL - Learning Robust Humanoid Perceptiv,"Humanoid perceptive locomotion has made significant progress and shows great promise, yet achieving robust multi-directional locomotion on complex terrains remains underexplored. To tackle this challenge, we propose \method, a two-stage training framework that enables multi-directional locomotion on challenging terrains, and remains robust with payloads.",No numerical results found
Real2Render2Real: Scaling Robot Data\Dynamics Simulation or Robot Hardware,Unknown,LaTeX_Sources/3_Articulated_Object_Modeling/Real2Render2Real - Scaling Robot Data Wi,\maketitle sections/2-abstract sections/3-introduction sections/4-rw sections/5-problem-statement sections/6-method sections/7-experiments sections/8-conclusion sections/acknowledgement sections/9-appendix main.,No numerical results found
Resilient Machines Through Continuous Self Modelling,Unknown,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Resilient Machines Through Continuous Se,"Resilient Machines Through Continuous Self Modelling \maketitle DOI: 10. 1133687 , 1118 (2006); 314 Science et al.",No numerical results found
Scaling Sim-to-Real Reinforcement Learning \\ for Robot VLAs with Generative 3D Worlds,Unknown,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Scaling SimtoReal Reinforcement Learning,The strong performance of large vision–language models (VLMs) trained with reinforcement learning (RL) has motivated similar approaches for fine-tuning vision–language–action (VLA) models in robotics. % Many recent works fine-tune VLAs directly in the real world to avoid addressing the sim-to-real gap.,No numerical results found
